Calibration config:
trend_soft=2 | setup_soft=6 | entry_soft=5 | entry_max_extension=1.6
symbols_count=379
filtered_symbols_file=data/filtered_symbols.txt
dynamic_symbols_file=data/dynamic_symbols.txt | min_stage=setup

SYMBOL         | 12H      | 4H        | 4H_STATE                 | 1H    | 1H_STATE                 | EXT_ATR | VOL_R | RR   | RISK%
NXPCUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
METUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BABYDOGEUSDT   | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MINAUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SIGNUSDT       | PASS 4/4 | FAIL 6/10 | trend_breakdown          | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
FOGOUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
SAFEUSDT       | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
HOMEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZORAUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ZETAUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DYDXUSDT       | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
MOVEUSDT       | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
DGBUSDT        | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
APEUSDT        | FAIL 0/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
VELOUSDT       | FAIL 3/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
BRETTUSDT      | FAIL 1/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
ALCHUSDT       | FAIL 2/4 | FAIL 0/10 | higher_timeframe_blocked | SKIP  | higher_timeframe_blocked | None    | None  | None | None 
